file_name,content,datetime,keywords,cities,roads
8359,Prometne informacije 13. 10. 2022 06.00 1. in 2. program Podatki o prometu. Na primorski avtocesti proti Ljubljani je zaradi predmeta na vozišču promet oviran med priključkom Unec in počivališčem Lom. Zaradi del promet na dolenjski avtocesti v obe smeri poteka samo po enem prometnem pasu med priključkoma Kronovo in Smednik. Proti Obrežju je zaprt tudi priključek Dobruška vas. ,2022-10-13 06:00:00,"['zaradi', 'proti', 'avtocesti', 'med', 'promet']","['Lom', 'Ljubljana', 'Unec', 'Obrežje', 'Smednik']",[]
8360,"Prometne informacije 13. 10. 2022 05.30 1. in 2. program Podatki o prometu. Ponekod po Sloveniji megla v pasovih zmanjšuje vidljivost. Voznikom svetujemo, da tam upočasnijo hitrost vožnje in povečajo varnostno razdaljo. Zaradi del je na primorski avtocesti promet med Divačo in Kozino urejen le po polovici avtoceste v obe smeri. ",2022-10-13 05:30:00,"['zmanjšuje', 'zaradi', 'vožnje', 'voznikom', 'vidljivost']","['Slovenija', 'Kozina', 'Divača']",[]
8361,Prometne informacije 12. 10. 2022 20.00 2. program Podatki o prometu. Zaradi pokvarjenega tovornjaka je na dolenjski avtocesti oviran promet pred priključkom Ivančna Gorica proti Obrežju. Na mejnih prehodih Gruškovje in Obrežje vozniki tovornih vozil na vstop v državo čakajo 1 uro. Danes ponoči od 23-ih do 4-ih bodo zaradi del na ljubljanski severni obvoznici polurne popolne zapore med priključkom Nove Jarše in razcepom Zadobrova v obe smeri. ,2022-10-12 20:00:00,"['zaradi', 'priključkom', 'ih', 'zapore', 'zadobrova']","['Zadobrova', 'Obrežje', 'Gorica']",[]
8362,Prometne informacije 12. 10. 2022 18.30 1. in 2. program Podatki o prometu. Zaradi pokvarjenega vozila je na podravski avtocesti oviran promet med priključkom Lancova vas in razcepom Draženci proti Mariboru. Na mejnih prehodih Gruškovje in Obrežje vozniki tovornih vozil na vstop v državo čakajo 1 uro. Danes ponoči od 23-ih do 4-ih bodo zaradi del na ljubljanski severni obvoznici polurne popolne zapore med priključkom Nove Jarše in razcepom Zadobrova v obe smeri. ,2022-10-12 18:30:00,"['zaradi', 'priključkom', 'razcepom', 'med', 'ih']","['Maribor', 'Zadobrova', 'Obrežje']",[]
8363,Prometne informacije 31. 10. 2022 16.45 1. in 2. program Podatki o prometu. Zaradi del je zastoj na primorski avtocesti med Kozino in Divačo proti Ljubljani. Prav tako so zastoji na glavni cesti od Bleda proti Lescam. ,2022-10-31 16:45:00,"['proti', 'zastoj', 'zastoji', 'zaradi', 'tako']","['Divača', 'Ljubljana', 'Lesce', 'Kozina', 'Bled']",[]
8364,Prometne informacije 29. 10. 2022 20.00 2. program Podatki o prometu. Zaradi gorečega vozila je na dolenjski avtocesti proti Ljubljani zaprt vozni pas med priključkoma Trebnje-vzhod in Trebnje-zahod Na pomurski avtocesti proti Lendavi je zaradi prometne nesreče zaprt vozni pas med priključkoma Sveti Jurij ob Ščavnici in Vučja vas. Na štajerski avtocesti proti Ljubljani je zaradi pokvarjenega vozila promet oviran na odstavnem pasu pred predorom Jasovnik. ,2022-10-29 20:00:00,"['zaradi', 'proti', 'avtocesti', 'vozni', 'vozila']","['Ščavnica', 'Trebnje', 'Ljubljana', 'Lendava']",[]
8365,Prometne informacije 12. 10. 2022 18.00 1. in 3. program Podatki o prometu. Zaradi pokvarjenega vozila je na podravski avtocesti oviran promet med priključkom Lancova vas in razcepom Draženci proti Mariboru. Na mejnih prehodih Gruškovje in Obrežje vozniki tovornih vozil na vstop v državo čakajo 1 uro. ,2022-10-12 18:00:00,"['čakajo', 'zaradi', 'vstop', 'vozniki', 'vozila']","['Maribor', 'Obrežje']",[]
8366,Prometne informacije 12. 10. 2022 17.30 2. program Podatki o prometu. Zaradi prometne nesreče je na ljubljanski severni obvoznici promet oviran med priključkom Nove Jarše in razcepom Zadobrova proti Štajerski. Na mejnih prehodih Gruškovje in Obrežje vozniki tovornih vozil na vstop v državo čakajo 1 uro. ,2022-10-12 17:30:00,"['prometne', 'štajerski', 'zaradi', 'čakajo', 'zadobrova']","['Zadobrova', 'Obrežje']",[]
8367,Prometne informacije 12. 10. 2022 17.00 1. in 3. program Podatki o prometu. Zaradi prometne nesreče je na ljubljanski severni obvoznici zaprt prehitevalni pas med priključkoma Bežigrad in Tomačevo proti Zadobrovi. Nastaja zastoj. Prav tako zaradi nesreče je promet oviran med priključkom Nove Jarše in razcepom Zadobrova proti Štajerski. Gost promet z občasnimi zastoji je na pomurski avtocesti med razcepom Dragučova in priključkom Pernica proti Madžarski. Na mejnih prehodih Gruškovje in Obrežje vozniki tovornih vozil na vstop v državo čakajo 1 uro. ,2022-10-12 17:00:00,"['proti', 'med', 'prometne', 'promet', 'razcepom']","['Zadobrova', 'Obrežje', 'Pernica']",[]
8368,Prometne informacije 12. 10. 2022 16.30 2. program Podatki o prometu. Promet ni več oviran zaradi nesreče na regionalni cesti od Maribora proti Hočam oziroma nekdanji hitri cesti skozi Maribor na Tržaški cesti. Zaradi prometne nesreče je na ljubljanski severni obvoznici oviran promet med priključkom Nove Jarše in razcepom Zadobrova proti Štajerski. Gost promet z občasnimi zastoji je na pomurski avtocesti med razcepom Dragučova in priključkom Pernica proti Madžarski. Na mejnem prehodu Obrežje vozniki tovornih vozil na vstop v državo čakajo 1 uro. ,2022-10-12 16:30:00,"['promet', 'proti', 'cesti', 'prometne', 'razcepom']","['Maribor', 'Zadobrova', 'Obrežje', 'Pernica']",[]
8369,Prometne informacije 12. 10. 2022 15.30 1. in 2. program Podatki o prometu. Na regionalni cesti od Maribora proti Hočam oziroma nekdanji hitri cesti skozi Maribor je zaradi prometne nesreče zaprt en prometni pas na Tržaški cesti pri carinarnici. Gost promet z občasnimi zastoji je na pomurski avtocesti med razcepom Dragučova in priključkom Pernica proti Madžarski. Zaradi pokvarjenega tovornjaka je na dolenjski avtocesti promet oviran med priključkoma Novo mesto-zahod in Mirna Peč proti Ljubljani. Na mejnem prehodu Obrežje vozniki tovornih vozil na vstop v državo čakajo 1 uro. ,2022-10-12 15:30:00,"['proti', 'cesti', 'prometne', 'zaradi', 'promet']","['Maribor', 'Ljubljana', 'Obrežje', 'Pernica']",['od Maribora proti Hočam oziroma nekdanji hitri cesti skozi Maribor je zaradi prometne nesreče zaprt en prometni']
8370,"Prometne informacije 12. 10. 2022 14.30 2. program Podatki o prometu. Regionalna cesta od Maribora proti Hočam oziroma nekdanja cesta skozi Maribor, je zaradi nesreče zaprta na Tržaški cesti pri carinarnici. Na štajerski avtocesti proti Mariboru je zaradi pokvarjenega vozila promet oviran med priključkoma Šempeter in Žalec. Na mejnem prehodu Obrežje vozniki tovornih vozil na vstop v državo čakajo 1 uro. ",2022-10-12 14:30:00,"['zaradi', 'proti', 'cesta', 'šempeter', 'štajerski']","['Maribor', 'Hoče', 'Obrežje', 'Žalec']",[]
